"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://nutrisport.es/web/colageno-con-magnesio/","text/html; charset=UTF-8","200","OK","Indexable","","Nutrisport","10","85","El colágeno con magnesio es perfecto para los deportistas que sienten molestias a nivel articular. Conoce los beneficios de este tipo de suplementos.","149","944","","0","Colágeno con magnesio para unas articulaciones fuertes","54","Navegación de entradas","22","¿Por qué tomar colágeno con magnesio?","37","Beneficios del colágeno con magnesio","36","index,follow","","","https://nutrisport.es/web/colageno-con-magnesio/","","","","","169648","3348","12.754239","2","","62","7","0.98","215","96","6","6","9492f634e0faada753f6b30036a1e9e2","1.602","","","","https://nutrisport.es/web/colageno-con-magnesio/"
"https://nutrisport.es/web/?p=2237","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","2","","1","1","0.14","0","0","0","0","","0.688","","https://nutrisport.es/web/hidratacion-informacion-consejos/","HTTP Redirect","https://nutrisport.es/web/?p=2237"
"https://nutrisport.es/control-peso/147-fit-meal.html","text/html; charset=utf-8","200","OK","Indexable","","Fit Meal de Nutrisport: ¡Un delicioso y nutritivo sustitutivo!","62","500","Fit MEAL es un batido sustitutivo para dietas de control de peso en sabores dulces o salado. ","93","585","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","Fit Meal","8","","0","Escriba una reseña","18","Únete a nuestra comunidad","25","index,follow","","","","","","","","203169","2257","7.063853","2","","108","31","4.34","256","119","6","6","691b654d1ff10b6e7949891c02dbeed","1.007","","","","https://nutrisport.es/control-peso/147-fit-meal.html"
"https://nutrisport.es/web/unibike-2015-nutrisport/","text/html; charset=UTF-8","200","OK","Indexable","","Nutrisport","10","85","NutriSport ha sido un año más referente de nutrición deportiva en Unibike, la feria de la bicicleta que se celebró en IFEMA (Madrid).","133","829","","0","NutriSport, referente de nutrición deportiva en Unibike 2015","60","Navegación de entradas","22","Nuevos productos NutriSport","27","Clínic nutrición","16","index,follow","","","https://nutrisport.es/web/unibike-2015-nutrisport/","","","","","115883","918","5.418979","2","","23","6","0.84","155","89","6","6","ce57f1f050f531db82ca2835c44333b9","1.458","","","","https://nutrisport.es/web/unibike-2015-nutrisport/"
"http://nutrisport.es/web/?p=663","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","162","0","0.0","2","","1","1","0.14","0","0","0","0","","0.027","","https://nutrisport.es/web/?p=663","HTTP Redirect","http://nutrisport.es/web/?p=663"
"https://nutrisport.es/web/fitness/","text/html; charset=UTF-8","200","OK","Indexable","","Nutrisport","10","85","En el fitness, llevar una alimentación adecuada es imprescindible para ver resultados. ¿Sabes cómo debes cambiar tus hábitos nutricionales?","139","894","","0","Fitness: ¿hasta qué punto es importante la alimentación?","56","Navegación de entradas","22","Fitness: nutrición para lograr los objetivos","44","Únete a nuestra comunidad","25","index,follow","","","https://nutrisport.es/web/fitness/","","","","","111830","933","5.6450458","2","","22","7","0.98","152","90","6","6","75dc30c0510ffcb9f14d0916cda15b43","1.413","","","","https://nutrisport.es/web/fitness/"
"https://nutrisport.es/web/?p=2466","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","2","","1","1","0.14","0","0","0","0","","0.664","","https://nutrisport.es/web/nutricion-en-la-mujer-deportista/","HTTP Redirect","https://nutrisport.es/web/?p=2466"
"https://nutrisport.es/control-peso/67-plan-7-dias.html","text/html; charset=utf-8","200","OK","Indexable","","Plan 7 días es un quemagrasas y depurativo","42","390","Plan 7 días es quemagrasas + depurativo en dosis de 10 ml de una toma al día. Se disuelve un sobre de 500ml en agua y se toma durante el día. ","142","917","l-carnitina,colina,inositol,carnitina,quemadores de grasa,quemadores de grasa,definición,muscle definition,te verde,té verde,bebidas con carnitina,bebidas con l-carnitina,nutrisport,depurativo","192","Plan 7 días","11","","0","Escriba una reseña","18","Únete a nuestra comunidad","25","index,follow","","","","","","","","184619","1811","6.252747","2","","103","31","4.34","251","120","6","6","e478f7e021e22e23423f8e99bc520dd2","0.889","","","","https://nutrisport.es/control-peso/67-plan-7-dias.html"
"https://nutrisport.es/batidos-bebidas-y-shots/192-stimulred-zero.html","text/html; charset=utf-8","200","OK","Indexable","","StimulRED ZERO - Bebida estimulante con cafeína y SIN CALORÍAS","62","608","Bebida con guaraná, taurina, arginina y cafeína. Sin calorías. ","63","385","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","StimulRED Drink Zero","20","","0","Escriba una reseña","18","Únete a nuestra comunidad","25","index,follow","","","","","","","","205499","1907","5.8772206","2","","247","76","10.64","291","140","6","6","86b688e70769715bebb70324ffb86c53","1.172","","","","https://nutrisport.es/batidos-bebidas-y-shots/192-stimulred-zero.html"
"https://nutrisport.es/web/?p=2227","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","2","","1","1","0.14","0","0","0","0","","0.598","","https://nutrisport.es/web/bromelaina/","HTTP Redirect","https://nutrisport.es/web/?p=2227"
